star,rating,discount,price,brand,storage,processor
4.6,258574,6% off,74900,Apple iPhone 15,256 GB,Apple
4.3,56704,22% off,13999,Motorola g64 5G,128 GB,Mediatek
4.5,8608,20% off,31999,vivo T3 Ultra,256 GB,Mediatek
4.4,10584,20% off,15999,realme P3 5G,128 GB,Snapdragon
4.3,1851,23% off,12999,Infinix Note 50x 5G,128 GB,Mediatek
4.5,18873,22% off,27999,vivo T3 Ultra,128 GB,Mediatek
4.2,1566,2% off,9295,realme Narzo N61,128 GB,Mediatek
4.3,56704,22% off,13999,Motorola g64 5G,128 GB,Mediatek
4.4,8829,35% off,12190,IQOO z9x,128 GB,Snapdragon
4.4,6400,27% off,18752,IQOO Z9s 5G,128 GB,Mediatek
4.4,6400,29% off,18330,IQOO Z9s 5G,128 GB,Mediatek
4.4,63419,28% off,29999,Motorola Edge 50 Pro 5G,256 GB,Snapdragon
4.4,126411,24% off,18999,vivo T3 5G,256 GB,Mediatek
4.6,1014,8% off,54900,Apple iPhone 16e,128 GB,Apple
4.4,20894,18% off,17140,OnePlus Nord CE4 lite 5G,128 GB,Qualcomm
4.2,2635,24% off,16154,Samsung Galaxy A16 5G,128 GB,Mediatek
4.4,8969,28% off,17999,Infinix Note 50s 5G,256 GB,Mediatek
4.4,26715,33% off,19999,Motorola Edge 50 Neo,256 GB,Mediatek
4.6,2832,36% off,85481,Samsung Galaxy S24 Ultra 5G,256 GB,Snapdragon
4.4,7654,19% off,16999,realme P3 5G,128 GB,Snapdragon
4.4,126411,24% off,18999,vivo T3 5G,256 GB,Mediatek
4.0,30641,25% off,1499,Kechaoda K112,64 MB,MediaTek MT6261D Number of cores: 1 GPU: -
4.3,31383,36% off,13999,Infinix Note 40X 5G,256 GB,Mediatek
4.6,258574,7% off,64900,Apple iPhone 15,128 GB,Apple
4.2,2080,36% off,11349,IQOO Z9x,128 GB,Snapdragon
4.5,20500,21% off,10999,realme C63 5G,128 GB,Mediatek
4.4,126411,23% off,17499,vivo T3 5G,128 GB,Mediatek
4.6,4228,30% off,55999,Samsung Galaxy S24 5G,256 GB,Exynos
4.4,73784,21% off,17999,Motorola G85 5G,256 GB,Snapdragon
4.4,7078,10% off,26999,realme 14 Pro 5G,256 GB,Mediatek
4.4,13160,6% off,27999,Nothing PhonePlus,256 GB,Mediatek
4.4,8829,35% off,12190,IQOO z9x,128 GB,Snapdragon
4.3,7119,32% off,16999,POCO X7 5G,128 GB,Mediatek
4.6,4228,33% off,49999,Samsung Galaxy S24 5G,128 GB,Exynos
4.5,18873,21% off,29999,vivo T3 Ultra,256 GB,Mediatek
4.6,2506,5% off,84900,Apple iPhone 16 Plus,128 GB,Apple
4.0,30641,25% off,1499,Kechaoda K112,64 MB,No
4.3,13002,41% off,19999,Samsung Galaxy A35 5G,128 GB,Exynos
4.4,7125,16% off,20999,CMF by Nothing Phone 2 Pro,256 GB,Mediatek
4.3,4857,15% off,7270,realme Narzo N61,64 GB,Mediatek
4.4,77680,20% off,15999,CMF by Nothing Phone 1,128 GB,Mediatek
4.3,2084,42% off,15031,Samsung Galaxy M35 5G,128 GB,Exynos
4.6,312259,8% off,54999,Apple iPhone 14,128 GB,Apple
4.4,19930,42% off,14084,Samsung Galaxy M35 5G,128 GB,Exynos
4.2,1781,28% off,14272,Samsung Galaxy A16 5G,128 GB,Mediatek
4.4,414,21% off,13690,IQOO Z10X 5G,128 GB,Mediatek
4.5,20500,21% off,10999,realme C63 5G,128 GB,Mediatek
4.5,3605,13% off,12999,realme C63 5G,128 GB,Mediatek
4.4,126411,23% off,17499,vivo T3 5G,128 GB,Mediatek
4.4,14697,30% off,17999,realme P2 Pro 5G,128 GB,Snapdragon
4.3,42370,15% off,10999,Motorola g45 5G,128 GB,Snapdragon
4.5,3605,13% off,12999,realme C63 5G,128 GB,Mediatek
4.3,31383,36% off,13999,Infinix Note 40X 5G,256 GB,Mediatek
